0 ,  GO ,  2801
1 ,  A1 ,  1881
2 ,  CC1 ,  1737
3 ,  A2 ,  2174
4 ,  T1 ,  2433
5 ,  R1 ,  3037
6 ,  B1 ,  2155
7 ,  CH1 ,  810
8 ,  B2 ,  2268
9 ,  B3 ,  2299
10 ,  JAIL ,  5868
11 ,  C1 ,  2573
12 ,  U1 ,  2545
13 ,  C2 ,  2487
14 ,  C3 ,  2807
15 ,  R2 ,  3306
16 ,  D1 ,  3172
17 ,  CC2 ,  2752
18 ,  D2 ,  2916
19 ,  D3 ,  2997
20 ,  FP ,  2884
21 ,  E1 ,  2912
22 ,  CH2 ,  1114
23 ,  E2 ,  2965
24 ,  E3 ,  3299
25 ,  R3 ,  3184
26 ,  F1 ,  2633
27 ,  F2 ,  2539
28 ,  U2 ,  2811
29 ,  F3 ,  2761
30 ,  G2J ,  0
31 ,  G1 ,  2903
32 ,  G2 ,  2637
33 ,  CC3 ,  2199
34 ,  G3 ,  2308
35 ,  R4 ,  2028
36 ,  CH3 ,  819
37 ,  H1 ,  2138
38 ,  T2 ,  2220
39 ,  H2 ,  2629
